type	title	r2Key	officialPreviewUrl
PDF	DOW-UAP-D099, Intelligence Review of “Ghost Rocket” Incidents, 1947	release-05/thumbnails/DOW-UAP-D099_Intelligence-Review-of-Ghost-Rocket-Incidents_1947.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D099_Intelligence-Review-of-Ghost-Rocket-Incidents_1947.jpg
PDF	DOW-UAP-D100, Air Materiel Command Report on Unidentified Flying Objects, 1947-1948	release-05/thumbnails/DOW-UAP-D100_Air-Materiel-Command-Report-on-UFOs_1947-1948.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D100_Air-Materiel-Command-Report-on-UFOs_1947-1948.jpg
PDF	DOW-UAP-D101, Intelligence Information Report, Unresolved UAP Report, Gulf of Oman, 2021	release-05/thumbnails/DOW-UAP-D101_IIR_Unresolved-UAP-Report-Gulf-of-Oman_2021.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D101_IIR_Unresolved-UAP-Report-Gulf-of-Oman_2021.jpg
PDF	EOP-UAP-D001, NASC Inquiry into Bahia, Brazil Incident, November 13, 1963	release-05/thumbnails/EOP-UAP-D001_NASC-Inquiry-into-Bahia-Brazil-Incident_November-13-1963.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/EOP-UAP-D001_NASC-Inquiry-into-Bahia-Brazil-Incident_November-13-1963.jpg
PDF	FBI-UAP-D024, FD-302, “Airborne Lights and Triangle,” 2002, 2023-2024	release-05/thumbnails/FBI-UAP-D024_FD-302_Airborne-Lights-and-Triangle_2002_2023-2024.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D024_FD-302_Airborne-Lights-and-Triangle_2002_2023-2024.jpg
PDF	FBI-UAP-D026, FD-302, “Dark Translucent Triangle,” 2023	release-05/thumbnails/FBI-UAP-D026_FD-302_Dark-Translucent-Triangle_2023.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D026_FD-302_Dark-Translucent-Triangle_2023.jpg
PDF	FBI-UAP-D028, FD-302, “Dark Triangle with Lights,” 2011	release-05/thumbnails/FBI-UAP-D028_FD-302_Dark-Triangle-with-Lights_2011.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D028_FD-302_Dark-Triangle-with-Lights_2011.jpg
PDF	FBI-UAP-D030, FD-302, “Large Triangle with Red Lights,” 2023	release-05/thumbnails/FBI-UAP-D030_FD-302_Large-Triangle-with-Red-Lights_2023.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D030_FD-302_Large-Triangle-with-Red-Lights_2023.jpg
PDF	FBI-UAP-D032, FD-302, “Slow-moving Objects,” 2026	release-05/thumbnails/FBI-UAP-D032_FD-302_Slow-moving-Objects_2026.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D032_FD-302_Slow-moving-Objects_2026.jpg
PDF	FBI-UAP-D033, FD-302, “Thermally Elevated Aerial Object,” 2026	release-05/thumbnails/FBI-UAP-D033_FD-302_Thermally-Elevated-Aerial-Object_2026.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D033_FD-302_Thermally-Elevated-Aerial-Object_2026.jpg
PDF	FBI-UAP-D037, FD-302, “Multiple Red Lights,” 2026	release-05/thumbnails/FBI-UAP-D037_FD-302_Multiple-Red-Lights_2026.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D037_FD-302_Multiple-Red-Lights_2026.jpg
PDF	FBI-UAP-D040, FD-302, “Multiple Red Lights,” 2026	release-05/thumbnails/FBI-UAP-D040_FD-302_Multiple-Red-Lights_2026.jpg	https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D040_FD-302_Multiple-Red-Lights_2026.jpg
